Rural-UrbanContinuumCode2013,PopulationEstimate2018,PopTotalMale2017,PopTotalFemale2017,FracMale2017,PopulationEstimate65+2017,PopulationDensityperSqMile2010,CensusPopulation2010,MedianAge2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",#HospParticipatinginNetwork2017,#Hospitals,#ICU_beds,dem_to_rep_ratio,PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,SVIPercentile,Spread Factor
6.0,40497.0,19767.0,20914.0,0.4859025097711462,8531.0,58.1,41616.0,42.4,11850.0,8164.0,13.3,227.1,45.6,18.180067185,83.09,689.0,65.0,1.0,2.0,6.0,0.4059879358540533,1221.0,1189.0,1208.0,1164.0,1396.0,1295.0,1480.0,1368.0,1102.0,1135.0,1070.0,1166.0,1081.0,1079.0,2528.0,2770.0,3028.0,3158.0,1499.0,1540.0,1432.0,1514.0,1930.0,2177.0,948.0,1344.0,267.0,527.0,34,19,12,15,18,27,0.8863,2.4693187149665406e-05
2.0,291538.0,150137.0,144219.0,0.5100524534916904,30841.0,171.2,291826.0,32.9,40301.0,30428.0,8.2,134.0,32.9,15.041432025999999,46.53,7618.0,1316.0,1.0,3.0,73.0,1.8980338363054408,11349.0,10612.0,10542.0,10076.0,10407.0,10036.0,10990.0,10197.0,13059.0,11320.0,12820.0,12000.0,10458.0,10162.0,19735.0,19327.0,22241.0,22328.0,9755.0,9333.0,7186.0,6754.0,6497.0,6812.0,2511.0,3357.0,659.0,1303.0,21,21,21,18,16,16,0.4602,0.0
6.0,71818.0,35364.0,36242.0,0.4938692288355725,10647.0,6.4,71518.0,32.4,13190.0,10062.0,15.4,142.8,31.7,21.513107022,50.32,2369.0,64.0,0.0,4.0,0.0,2.073179611650485,3001.0,2959.0,3009.0,3013.0,3265.0,3120.0,3503.0,3277.0,2419.0,2309.0,2123.0,1897.0,1978.0,1835.0,4104.0,3994.0,4663.0,4945.0,2021.0,2135.0,1772.0,1908.0,2489.0,2687.0,1037.0,1287.0,294.0,474.0,30,16,16,15,18,18,0.9885,7.956620505006704e-06
3.0,142854.0,69596.0,71180.0,0.494374041029721,17001.0,7.2,134421.0,31.0,21712.0,16184.0,7.7,124.3,30.4,15.990186028,46.49,2881.0,436.0,1.0,3.0,41.0,1.5351525487966649,4533.0,4412.0,4551.0,4212.0,4362.0,4237.0,6321.0,7003.0,7770.0,8155.0,5264.0,4679.0,4155.0,4031.0,7872.0,7627.0,8647.0,9306.0,4252.0,4425.0,3405.0,3278.0,3653.0,3794.0,1512.0,1873.0,369.0,723.0,30,16,16,15,18,18,0.7131,1.4000308006776149e-05
1.0,4410824.0,2131219.0,2175814.0,0.4948230022848676,638316.0,414.9,3817117.0,34.6,706340.0,570367.0,8.2,130.3,29.0,13.686398250999998,51.21,59693.0,13059.0,14.0,34.0,1004.0,0.9405187051505228,144268.0,138502.0,144340.0,138369.0,141354.0,135874.0,142552.0,134347.0,137531.0,129341.0,139949.0,136755.0,133198.0,131224.0,263493.0,261105.0,248168.0,255797.0,99040.0,109421.0,89536.0,100312.0,118994.0,136394.0,65158.0,83041.0,20884.0,38170.0,30,16,16,15,18,18,0.6354,7.449207417285944e-07
4.0,110445.0,54500.0,54456.0,0.5002019163699107,19185.0,10.8,107449.0,34.7,25035.0,18750.0,13.6,146.9,27.6,20.611978362000002,50.93,2142.0,159.0,1.0,4.0,12.0,0.799873645332167,4363.0,4376.0,4348.0,4209.0,4620.0,4384.0,4656.0,4434.0,3535.0,3234.0,3268.0,2907.0,3015.0,2745.0,6053.0,5762.0,7013.0,7352.0,3245.0,3504.0,2926.0,3259.0,4332.0,4535.0,1912.0,2224.0,491.0,747.0,30,16,16,15,18,18,0.9955,1.2934686301520473e-05
2.0,1039073.0,503035.0,519734.0,0.4918363775202416,196634.0,106.7,980263.0,37.7,228674.0,185136.0,7.2,140.0,30.1,14.916461188,49.95,16388.0,4690.0,4.0,9.0,296.0,1.3418364909095253,32059.0,30462.0,31391.0,30382.0,31900.0,30229.0,36199.0,35145.0,38499.0,36841.0,33593.0,32589.0,30092.0,29899.0,57979.0,57816.0,64019.0,67509.0,30366.0,33552.0,27760.0,30689.0,38174.0,43618.0,22141.0,27465.0,7265.0,12630.0,30,16,16,15,18,18,0.8828,3.712099974826463e-06
1.0,447138.0,224220.0,206017.0,0.5211546194306859,85362.0,70.0,375770.0,35.3,85443.0,63117.0,11.3,124.6,24.9,16.274473498,50.29,1610.0,250.0,3.0,4.0,22.0,0.6576854941704775,15491.0,14691.0,14820.0,14201.0,13399.0,12975.0,11936.0,10714.0,12066.0,9105.0,15361.0,12242.0,16262.0,12881.0,28471.0,21888.0,23444.0,20944.0,9995.0,10759.0,10494.0,11560.0,16421.0,16834.0,7493.0,7596.0,1512.0,2215.0,30,16,16,15,18,18,0.8592,1.9169537304878072e-06
6.0,24965.0,12304.0,12744.0,0.4912168636218461,6628.0,46.9,25970.0,46.8,8448.0,6346.0,8.4,181.4,47.2,17.409398052,70.59,156.0,34.0,1.0,1.0,0.0,0.22213998731232815,663.0,705.0,701.0,704.0,744.0,740.0,803.0,710.0,619.0,550.0,640.0,608.0,643.0,655.0,1439.0,1369.0,1884.0,1955.0,871.0,910.0,935.0,1004.0,1658.0,1816.0,922.0,1035.0,255.0,432.0,24,25,25,16,18,18,0.2083,0.0
1.0,48342.0,23171.0,25579.0,0.4753025641025641,6628.0,83.5,50902.0,34.2,9587.0,6426.0,18.6,215.7,48.8,23.311338002,80.99,0.0,42.0,0.0,1.0,0.0,1.207639287765652,2039.0,2038.0,2038.0,2005.0,2105.0,1962.0,2089.0,1967.0,1433.0,1685.0,1524.0,1873.0,1527.0,1686.0,2965.0,3538.0,3567.0,3813.0,1447.0,1601.0,1206.0,1317.0,1436.0,1784.0,597.0,1048.0,193.0,419.0,24,25,25,16,18,18,0.9341,5.9102702766597516e-06
2.0,124806.0,60437.0,63217.0,0.48875895644297795,14981.0,174.8,113237.0,31.5,20629.0,14640.0,9.8,185.7,50.5,20.535015324,67.91,1451.0,197.0,2.0,2.0,25.0,0.498500647447693,4129.0,3802.0,3879.0,3861.0,3893.0,3709.0,4308.0,4318.0,6483.0,7129.0,4489.0,4234.0,3772.0,3684.0,7174.0,7220.0,7242.0,7528.0,2882.0,3038.0,2477.0,2668.0,3059.0,3445.0,1435.0,2101.0,401.0,877.0,24,25,25,16,18,18,0.4774,1.1446336142264223e-06
3.0,68114.0,34143.0,34972.0,0.4940027490414526,11603.0,88.9,77435.0,37.4,16277.0,11197.0,14.0,298.4,47.3,21.331822966,57.05,1358.0,156.0,1.0,1.0,34.0,1.705081081081081,2534.0,2423.0,2593.0,2388.0,2722.0,2533.0,2990.0,2997.0,2927.0,2907.0,2600.0,2442.0,2331.0,2262.0,4670.0,4629.0,5597.0,5787.0,2586.0,2777.0,2236.0,2249.0,2613.0,3025.0,1226.0,1981.0,442.0,968.0,24,25,25,16,18,18,0.9436,6.291972701227773e-06
